transaction_id,card_id,timestamp,amount,merchant_category,country,card_present,is_fraud
txn_0000000,card_00534,2026-01-22T01:02:57Z,35.66,fuel,US,True,False
txn_0000001,card_00268,2026-01-22T14:39:54Z,60.73,fuel,SG,False,False
txn_0000002,card_00340,2026-01-21T07:13:32Z,12.32,electronics,SG,False,False
txn_0000003,card_00290,2026-01-26T02:58:34Z,169.89,restaurant,US,True,False
txn_0000004,card_00712,2026-01-02T08:03:58Z,195.53,restaurant,GB,True,False
txn_0000005,card_00603,2026-01-28T04:41:12Z,383.31,restaurant,SG,False,False
txn_0000006,card_00134,2026-01-18T11:28:21Z,129.79,atm_withdrawal,DE,True,False
txn_0000007,card_00561,2026-01-17T13:03:40Z,13.76,pharmacy,IN,True,False
txn_0000008,card_00336,2026-01-30T02:46:44Z,37.93,grocery,AE,False,False
txn_0000009,card_00217,2026-01-18T13:08:13Z,86.99,grocery,GB,False,False
txn_0000010,card_00275,2026-01-20T03:30:04Z,32.01,grocery,US,True,False
txn_0000011,card_00827,2026-01-05T15:27:43Z,346.84,travel,GB,True,False
txn_0000012,card_00642,2026-01-09T13:40:28Z,107.38,online_retail,SG,False,False
txn_0000013,card_00878,2026-01-20T18:52:51Z,75.47,atm_withdrawal,SG,False,False
txn_0000014,card_00386,2026-01-10T02:27:47Z,130.26,atm_withdrawal,GB,False,False
txn_0000015,card_00028,2026-01-25T00:04:09Z,101.48,grocery,SG,False,False
txn_0000016,card_00222,2026-01-15T03:23:27Z,575.24,entertainment,GB,True,False
txn_0000017,card_00415,2026-01-23T21:20:09Z,272.73,grocery,US,False,False
txn_0000018,card_00076,2026-01-14T12:06:12Z,47.43,entertainment,IN,False,False
txn_0000019,card_00831,2026-01-16T22:16:11Z,33.4,grocery,US,False,False
txn_0000020,card_00364,2026-01-17T02:34:08Z,33.3,restaurant,DE,True,False
txn_0000021,card_00135,2026-01-10T18:30:47Z,11.33,online_retail,AE,True,False
txn_0000022,card_00038,2026-01-13T09:32:37Z,163.21,atm_withdrawal,US,True,False
txn_0000023,card_00188,2026-01-29T17:32:22Z,103.46,online_retail,SG,True,False
txn_0000024,card_00403,2026-01-07T01:17:49Z,48.4,restaurant,GB,False,False
txn_0000025,card_00586,2026-01-22T14:57:53Z,67.78,utilities,US,True,False
txn_0000026,card_00099,2026-01-13T16:18:26Z,39.07,entertainment,IN,True,False
txn_0000027,card_00457,2026-01-25T07:39:46Z,122.07,online_retail,DE,True,False
txn_0000028,card_00241,2026-01-13T09:06:46Z,49.97,entertainment,DE,True,False
txn_0000029,card_00613,2026-01-07T20:06:19Z,423.37,travel,GB,True,False
txn_0000030,card_00573,2026-01-01T23:53:14Z,19.19,online_retail,AE,True,False
txn_0000031,card_00450,2026-01-26T07:24:55Z,46.06,restaurant,IN,True,False
txn_0000032,card_00150,2026-01-09T15:20:52Z,11.66,fuel,SG,False,False
txn_0000033,card_00012,2026-01-23T15:07:19Z,19.16,atm_withdrawal,DE,True,False
txn_0000034,card_00683,2026-01-17T04:09:06Z,144.93,travel,GB,True,False
txn_0000035,card_00139,2026-01-19T22:17:19Z,62.45,travel,IN,True,False
txn_0000036,card_00470,2026-01-22T07:07:00Z,144.41,grocery,GB,False,False
txn_0000037,card_00776,2026-01-11T15:51:24Z,25.67,fuel,AE,True,False
txn_0000038,card_00069,2026-01-08T03:04:47Z,73.38,atm_withdrawal,US,True,False
txn_0000039,card_00751,2026-01-30T12:15:38Z,68.02,fuel,GB,False,False
txn_0000040,card_00096,2026-01-07T00:41:35Z,23.81,online_retail,US,False,False
txn_0000041,card_00532,2026-01-09T13:08:04Z,378.38,entertainment,GB,True,True
txn_0000042,card_00145,2026-01-16T19:03:17Z,182.89,entertainment,AE,False,False
txn_0000043,card_00370,2026-01-05T16:23:08Z,13.89,restaurant,GB,True,False
txn_0000044,card_00063,2026-01-17T02:50:20Z,94.24,restaurant,IN,True,False
txn_0000045,card_00243,2026-01-21T14:12:52Z,79.92,restaurant,IN,False,False
txn_0000046,card_00254,2026-01-29T20:39:34Z,283.25,electronics,AE,False,False
txn_0000047,card_00138,2026-01-08T00:32:41Z,17.74,grocery,SG,True,False
txn_0000048,card_00474,2026-01-22T00:15:54Z,10.76,online_retail,US,True,False
txn_0000049,card_00010,2026-01-27T14:35:59Z,211.18,entertainment,US,False,False
txn_0000050,card_00827,2026-01-07T20:19:47Z,43.99,entertainment,AE,True,False
