transaction_id,card_id,timestamp,amount,merchant_category,country,card_present,is_fraud
txn_0000000,card_00694,2026-01-30T11:20:25Z,39.25,online_retail,DE,False,False
txn_0000001,card_00223,2026-01-10T20:20:22Z,390.47,entertainment,GB,True,False
txn_0000002,card_00115,2026-01-05T09:08:45Z,12.14,restaurant,GB,True,False
txn_0000003,card_00493,2026-01-09T23:11:43Z,158.21,grocery,GB,False,False
txn_0000004,card_00879,2026-01-17T03:40:23Z,635.64,atm_withdrawal,SG,True,False
txn_0000005,card_00114,2026-01-30T14:46:16Z,11.58,travel,DE,False,False
txn_0000006,card_00306,2026-01-28T12:51:48Z,81.16,restaurant,SG,False,False
txn_0000007,card_00331,2026-01-03T21:03:03Z,186.26,pharmacy,SG,True,False
txn_0000008,card_00127,2026-01-27T05:12:24Z,105.36,atm_withdrawal,AE,True,False
txn_0000009,card_00585,2026-01-27T05:15:47Z,21.76,electronics,DE,False,False
txn_0000010,card_00872,2026-01-15T16:57:11Z,203.59,electronics,DE,False,False
txn_0000011,card_00434,2026-01-15T16:33:31Z,42.45,fuel,IN,True,False
txn_0000012,card_00152,2026-01-05T07:29:37Z,45.28,restaurant,US,True,False
txn_0000013,card_00883,2026-01-05T08:25:01Z,17.54,travel,AE,False,False
txn_0000014,card_00217,2026-01-25T03:05:31Z,227.85,electronics,GB,True,False
txn_0000015,card_00103,2026-01-21T22:02:28Z,99.9,restaurant,US,False,False
txn_0000016,card_00124,2026-01-26T00:30:05Z,57.5,fuel,AE,True,False
txn_0000017,card_00895,2026-01-24T11:14:00Z,37.0,fuel,AE,True,False
txn_0000018,card_00497,2026-01-17T15:23:39Z,67.73,restaurant,US,True,False
txn_0000019,card_00164,2026-01-14T14:01:30Z,85.64,travel,AE,True,False
txn_0000020,card_00730,2026-01-06T01:04:01Z,38.0,online_retail,IN,False,False
txn_0000021,card_00756,2026-01-20T08:24:35Z,34.54,pharmacy,IN,False,False
txn_0000022,card_00760,2026-01-16T01:32:50Z,97.25,pharmacy,US,True,False
txn_0000023,card_00327,2026-01-24T21:31:16Z,34.38,grocery,AE,True,False
txn_0000024,card_00435,2026-01-24T20:20:49Z,36.61,grocery,US,True,False
txn_0000025,card_00350,2026-01-19T19:12:17Z,58.14,fuel,DE,False,False
txn_0000026,card_00099,2026-01-20T15:29:14Z,100.06,fuel,AE,False,False
txn_0000027,card_00512,2026-01-29T15:37:40Z,89.34,pharmacy,IN,False,False
txn_0000028,card_00162,2026-01-21T01:06:53Z,80.09,electronics,DE,False,False
txn_0000029,card_00386,2026-01-03T00:45:15Z,245.25,entertainment,AE,False,False
txn_0000030,card_00664,2026-01-06T03:47:11Z,59.78,electronics,SG,False,False
txn_0000031,card_00447,2026-01-30T19:50:56Z,192.53,pharmacy,GB,False,False
txn_0000032,card_00366,2026-01-16T16:34:58Z,95.96,atm_withdrawal,IN,False,False
txn_0000033,card_00742,2026-01-13T10:42:17Z,398.0,atm_withdrawal,DE,True,False
txn_0000034,card_00695,2026-01-25T12:43:18Z,25.59,grocery,US,True,False
txn_0000035,card_00263,2026-01-13T18:48:44Z,84.82,atm_withdrawal,SG,True,False
txn_0000036,card_00036,2026-01-04T07:37:15Z,16.65,travel,IN,False,False
txn_0000037,card_00860,2026-01-02T10:35:04Z,162.86,electronics,SG,False,False
txn_0000038,card_00673,2026-01-20T03:06:11Z,251.01,pharmacy,DE,False,False
txn_0000039,card_00725,2026-01-05T01:44:32Z,186.05,travel,AE,True,False
txn_0000040,card_00491,2026-01-21T00:15:56Z,28.58,fuel,AE,False,False
txn_0000041,card_00790,2026-01-09T16:21:47Z,38.02,online_retail,US,False,False
txn_0000042,card_00761,2026-01-15T05:48:14Z,113.57,atm_withdrawal,IN,False,True
txn_0000043,card_00859,2026-01-18T11:04:18Z,174.64,atm_withdrawal,SG,True,False
txn_0000044,card_00415,2026-01-11T19:41:59Z,346.52,electronics,AE,True,False
txn_0000045,card_00233,2026-01-24T07:18:55Z,21.01,fuel,DE,False,False
txn_0000046,card_00590,2026-01-20T18:48:19Z,12.9,fuel,IN,True,False
txn_0000047,card_00065,2026-01-01T02:11:23Z,79.34,online_retail,US,True,False
txn_0000048,card_00443,2026-01-21T13:19:24Z,131.48,grocery,IN,False,False
txn_0000049,card_00178,2026-01-26T10:38:41Z,53.29,grocery,US,False,False
txn_0000050,card_00175,2026-01-18T18:51:16Z,132.94,grocery,US,False,False
