transaction_id,card_id,timestamp,merchant_category,card_present,is_fraud,device_fingerprint,country_code,amount_minor_units
txn_0000500,card_00202,2026-01-02T23:27:41Z,pharmacy,False,False,dev_002060,GB,3655
txn_0000501,card_00868,2026-01-03T19:35:26Z,grocery,False,False,dev_004714,DE,55236
txn_0000502,card_00778,2026-01-15T06:48:01Z,fuel,False,False,dev_004545,AE,329
txn_0000503,card_00366,2026-01-15T05:00:26Z,utilities,True,False,dev_001829,AE,6569
txn_0000504,card_00647,2026-01-24T17:46:58Z,restaurant,True,False,dev_002071,GB,3110
txn_0000505,card_00768,2026-01-20T14:48:00Z,electronics,True,False,dev_000151,GB,24614
txn_0000506,card_00041,2026-01-09T21:27:08Z,online_retail,False,False,dev_001492,GB,2060
txn_0000507,card_00578,2026-01-19T13:16:38Z,atm_withdrawal,True,False,dev_003539,IN,10735
txn_0000508,card_00651,2026-01-18T11:23:03Z,atm_withdrawal,False,False,dev_004807,DE,6705
txn_0000509,card_00861,2026-01-21T12:52:08Z,grocery,True,False,dev_001631,GB,42038
txn_0000510,card_00728,2026-01-16T20:36:41Z,entertainment,True,False,dev_004799,AE,4348
txn_0000511,card_00135,2026-01-16T04:48:16Z,grocery,False,False,dev_003374,DE,3313
txn_0000512,card_00676,2026-01-04T14:42:32Z,travel,False,False,dev_003270,US,12150
txn_0000513,card_00234,2026-01-13T05:25:54Z,pharmacy,False,False,dev_001858,AE,31603
txn_0000514,card_00851,2026-01-13T23:02:30Z,travel,True,False,dev_004303,US,6507
txn_0000515,card_00059,2026-01-19T01:44:57Z,electronics,False,False,dev_002461,SG,6005
txn_0000516,card_00837,2026-01-12T16:27:01Z,electronics,True,False,dev_002789,DE,22806
txn_0000517,card_00551,2026-01-03T21:03:59Z,atm_withdrawal,True,False,dev_000407,DE,10614
txn_0000518,card_00334,2026-01-30T10:46:31Z,atm_withdrawal,False,False,dev_000727,DE,5224
txn_0000519,card_00876,2026-01-08T04:10:46Z,travel,True,False,dev_001342,GB,1898
txn_0000520,card_00276,2026-01-20T13:12:04Z,travel,False,False,dev_000838,SG,1426
txn_0000521,card_00135,2026-01-01T21:06:00Z,restaurant,True,False,dev_000683,SG,38859
txn_0000522,card_00650,2026-01-20T08:16:23Z,fuel,True,False,dev_000010,GB,10300
txn_0000523,card_00443,2026-01-26T20:42:47Z,atm_withdrawal,True,False,dev_003293,DE,6059
txn_0000524,card_00178,2026-01-28T05:22:10Z,grocery,False,False,dev_001624,US,1957
txn_0000525,card_00188,2026-01-21T02:38:02Z,online_retail,False,False,dev_004005,SG,14746
txn_0000526,card_00662,2026-01-22T14:01:41Z,electronics,True,False,dev_001196,IN,15699
